date,user,device,0,1,2,3,4,5,6,7
1553161485602,jules,Gi161124,0,119,540,180,240,181,360,240
1553161487881,jules,Gi161124,0,180,480,120,300,121,420,359
1553161490162,jules,Gi161124,0,119,541,59,361,119,540,121
1553161492802,jules,Gi161124,0,180,539,121,299,181,360,179
1553095539155,olivier,GiS61148,0,300,842,358,600,482,778,420
1553095539156,olivier,GiS61148,0,359,781,480,600,540,781,479
1553095539157,olivier,GiS61148,0,420,780,420,719,662,839,360
1553095539158,olivier,GiS61148,0,420,720,420,841,419,899,481
1553095539159,olivier,GiS61148,0,600,839,420,601,542,778,540
1553095539160,olivier,GiS61148,0,541,839,540,600,420,600,781
1553095539161,olivier,GiS61148,0,359,900,481,540,539,1021,539
1553095539162,olivier,GiS61148,0,359,841,299,720,599,1081,540
1553095539163,olivier,GiS61148,0,420,1260,359,600,421,959,421
1553095539164,olivier,GiS61148,0,540,660,1021,598,300,901,420
1553095539165,olivier,GiS61148,0,360,720,420,600,479,1141,780
1553095539166,olivier,GiS61148,0,540,844,538,779,359,1022,540
1553095539167,olivier,GiS61148,0,358,960,540,779,1080,721,420
1553095539168,olivier,GiS61148,0,481,840,600,1441,299,780,480
1553095539169,olivier,GiS61148,0,597,480,420,900,420,1320,900
1553095539170,olivier,GiS61148,0,421,780,840,899,301,1020,900
1553095539171,olivier,GiS61148,0,660,659,479,901,360,1443,1076
1553095539172,olivier,GiS61148,0,300,840,419,661,300,2040,1080
1553095539173,olivier,GiS61148,0,420,1680,420,1261,479,780,600
1553095539174,olivier,GiS61148,0,421,838,421,840,359,2401,480
1553095539175,olivier,GiS61148,0,659,781,660,480,479,2040,720
1553095539176,olivier,GiS61148,0,480,2223,357,1140,420,1080,419
1553095539177,olivier,GiS61148,0,479,1020,362,1259,360,1680,1020
1553095539178,olivier,GiS61148,0,660,1681,479,1919,662,899,720
1553095539179,olivier,GiS61148,0,240,1200,421,719,480,3423,1497
1553161105680,olivier,Gi161124,0,361,1019,480,600,240,599,721
1553161110480,olivier,Gi161124,0,419,840,421,660,301,839,359
1553161116000,olivier,Gi161124,0,420,660,360,780,360,959,961
1553161121640,olivier,Gi161124,0,539,661,419,725,475,780,481
1553161129619,olivier,Gi161124,0,421,721,480,959,600,959,481
1553161135020,olivier,Gi161124,0,481,660,358,721,360,779,420
1553161139639,olivier,Gi161124,0,540,660,480,540,540,1020,480
1553161144799,olivier,Gi161124,0,540,661,419,660,1080,1080,780
1553161162981,olivier,Gi161124,0,298,720,1442,479,359,720,600
1553161169399,olivier,Gi161124,0,420,660,780,900,301,1439,421
1553161175760,olivier,Gi161124,0,480,720,480,539,302,1200,720
1553161181401,olivier,Gi161124,0,420,2224,536,540,300,601,418
1553161187402,olivier,Gi161124,0,420,599,361,719,479,902,480
1553161192201,olivier,Gi161124,0,422,778,480,721,778,960,720
1553161197901,olivier,Gi161124,0,419,780,540,600,662,838,601
1553161203721,olivier,Gi161124,0,360,661,599,601,419,900,784
1553161209180,olivier,Gi161124,0,541,600,599,481,359,1141,421
1553161214402,olivier,Gi161124,0,419,659,421,599,421,780,781
1553161219262,olivier,Gi161124,0,659,659,660,601,301,779,480
1553161224181,olivier,Gi161124,0,540,721,539,1079,540,721,781
1553161229882,olivier,Gi161124,0,480,779,721,659,600,721,478
1553161235282,olivier,Gi161124,0,540,780,479,603,478,899,540
1553161240381,olivier,Gi161124,0,419,781,419,541,662,898,780
1553161248302,olivier,Gi161124,0,418,720,361,479,480,841,1559
1553161253820,olivier,Gi161124,0,301,780,601,480,300,1739,480
1553160819120,romain,Gi161124,0,59,240,121,359,481,59,299
1553160821818,romain,Gi161124,0,61,301,120,360,240,240,300
1553160824100,romain,Gi161124,0,60,298,540,181,421,180,179
1553160827159,romain,Gi161124,0,120,301,659,120,300,240,181
1553160829979,romain,Gi161124,0,120,301,179,420,240,240,181
1553160835203,romain,Gi161124,0,56,240,300,179,301,180,239
1553160837959,romain,Gi161124,0,59,301,181,239,239,181,239
1553160840899,romain,Gi161124,0,60,299,121,300,601,120,179
1553160843539,romain,Gi161124,0,121,299,119,362,300,118,361
1553160846060,romain,Gi161124,0,120,420,420,299,419,180,302
1553160849481,romain,Gi161124,0,177,250,112,298,242,360,1
1553160852419,romain,Gi161124,0,60,240,121,300,240,179,120
1553160854759,romain,Gi161124,0,60,240,121,301,237,121,179
1553160856920,romain,Gi161124,0,119,239,122,299,361,60,238
1553160861002,romain,Gi161124,0,57,239,122,359,361,2,118
1553160863160,romain,Gi161124,0,119,419,60,300,361,61,240
1553160866278,romain,Gi161124,0,60,302,119,239,301,180,421
1553160868498,romain,Gi161124,0,121,301,179,299,182,180,240
1553160871620,romain,Gi161124,0,58,242,119,239,302,118,241
1553160873779,romain,Gi161124,0,180,240,119,301,239,182,179
1553160879059,romain,Gi161124,0,119,241,60,421,180,179,239
1553160881519,romain,Gi161124,0,121,359,361,178,361,121,239
1553160890218,romain,Gi161124,0,121,239,121,301,239,120,300
1553160892799,romain,Gi161124,0,60,300,61,360,240,119,300
1553160895081,romain,Gi161124,0,118,241,179,240,301,120,298
1553160903718,romain,Gi161124,0,121,241,179,360,301,240,178
1553160906119,romain,Gi161124,0,180,240,180,301,299,181,239
1553160908578,romain,Gi161124,0,180,240,181,241,239,179,662
1553160911042,romain,Gi161124,0,118,300,660,178,300,242,300
1553160914160,romain,Gi161124,0,180,298,121,300,239,361,1
1553160922621,romain,Gi161124,0,118,243,298,120,240,180,239
1553160925619,romain,Gi161124,0,181,299,241,238,181,120,241
1553160927900,romain,Gi161124,0,178,301,121,360,299,121,300
1553160931679,romain,Gi161124,0,1,421,539,420,240,180,298
1553160936423,romain,Gi161124,0,56,420,119,241,301,118,240
1553160939119,romain,Gi161124,0,119,300,121,301,178,121,239
1553160941398,romain,Gi161124,0,120,300,181,239,302,118,242
1553160946260,romain,Gi161124,0,120,359,60,300,179,240,600
1553160948418,romain,Gi161124,0,182,358,422,180,360,119,359
1553160954002,romain,Gi161124,0,57,300,120,301,299,120,240
1553160956518,romain,Gi161124,0,121,300,179,241,239,182,239
1553160961919,romain,Gi161124,0,60,241,121,298,241,300,180
1553160964739,romain,Gi161124,0,120,240,120,301,239,182,178
1553160967080,romain,Gi161124,0,180,240,119,360,241,120,239
1553160971703,romain,Gi161124,0,56,241,240,359,240,181,179
1553160974160,romain,Gi161124,0,119,301,119,300,241,119,242
1553160976440,romain,Gi161124,0,119,241,179,301,299,180,301
1553160986879,romain,Gi161124,0,60,301,179,360,301,180,179
1553160989279,romain,Gi161124,0,180,240,121,299,362,120,600
1553160992699,romain,Gi161124,0,121,240,180,300,179,180,181
